"","logFC","logCPM","PValue","FDR"
"LIC_12760",-5.38867432763463,9.67171635228886,1.71173079152879e-08,3.15728744497485e-06
"LIC_12077",-4.34365670108595,7.36517241293928,1.53509573102017e-10,8.21155791073623e-08
"LIC_12099",-4.3367551266427,8.84624617059108,1.89925894985735e-16,7.00636626602377e-13
"LIC_11694",-3.87111539052553,6.55691993373653,6.43977380056492e-05,0.00383166541133613
"LIC_11059",-3.86371839492596,7.15357912941113,5.9099867004845e-12,7.26731364602911e-09
"LIC_12631",-3.81927504046823,10.7053830125125,3.47245412506455e-10,1.16453484248756e-07
"LIC_13445",-3.81294079222709,4.65337356579879,1.63368764668116e-06,0.000200306014240547
"LIC_10456",-3.33541636684139,3.95943793831959,0.000272881889190229,0.0104860550960704
"LIC_10299",-3.04510927440171,8.90462938863197,1.705401924141e-10,8.21155791073623e-08
"LIC_12209",-2.82482332646192,8.89842403736949,1.49163700618695e-14,2.75132445791183e-11
"LIC_12340",-2.74211187134236,8.26857835775893,1.78952305068109e-07,2.5390578976779e-05
"LIC_10965",-2.69824356096414,5.89889143771351,1.63569511643617e-08,3.15728744497485e-06
"LIC_10372",-2.66793400427886,6.09661689236746,1.50429210504565e-08,3.08296309750744e-06
"LIC_13390",-2.65397000583058,5.43373575465184,5.25282718947487e-06,0.000523721067620887
"LIC_13053",-2.61932589164607,7.93269094752569,1.28687004450387e-07,1.92503231716349e-05
"LIC_12120",-2.61645427694676,4.54137738516589,0.00150052502129612,0.0380789189766607
"LIC_11467",-2.6101431939559,5.26675265087514,0.0021933295696076,0.048450256181332
"LIC_10455",-2.59503243450341,4.51068388954196,0.000111980063903051,0.00584049957846189
"LIC_11219",-2.52985345687484,10.7748461590913,4.23684035119835e-09,9.76856503473169e-07
"LIC_10373",-2.46047844227373,8.37360941486253,1.42537865098331e-09,4.04478603344418e-07
"LIC_11888",-2.41030197018301,10.1331281376502,1.67843980406039e-05,0.00134603574721278
"LIC_13066",-2.39117702194808,8.15258674496176,2.70239667100208e-10,9.96914131932668e-08
"LIC_10376",-2.386681782817,4.54489341175059,0.000279503191991989,0.0106297657243139
"LIC_12798",-2.36567758600718,6.2678057903781,3.73126211513299e-05,0.00245796891834386
"LIC_12737",-2.35913097482594,8.34122288769615,5.20850716784153e-09,1.13024605542161e-06
"LIC_10462",-2.34711188139862,8.43916204619901,1.46224748080526e-05,0.00124763982384392
"LIC_12986",-2.28440102072561,4.63831979423282,0.00143859280655061,0.0371116703731831
"LIC_10721",-2.21762707250711,4.57916187219528,0.000683436476625912,0.0213660776463813
"LIC_10371",-2.2090601701084,9.92952115432157,2.48086527691786e-10,9.96914131932668e-08
"LIC_10465",-2.19304864568043,12.4321233984602,1.00519628517201e-05,0.000882897403809413
"LIC_10775",-2.09732852517212,7.48810477343676,2.30743571477196e-09,6.08009310842412e-07
"LIC_12555",-2.02211051992703,7.02801950149105,0.00013082580526317,0.0062587843307718
"LIC_11328",-2.02037560017665,6.01660521990416,9.12948125625819e-06,0.000830404968767259
"LIC_10131",-2.0074442667693,7.38356475586845,1.68324381714746e-06,0.000200306014240547
"LIC_10537",-1.99912016341328,6.58227638742074,5.17820907272201e-05,0.0032376971642833
"LIC_12927",-1.9857080715965,8.31410164939695,3.32044939716366e-06,0.000340253828503798
"LIC_10790",-1.97745766183836,5.15827414003908,0.00140011740345644,0.036373472544724
"LIC_11889",-1.97043714421276,11.8973492089969,2.78446763972139e-07,3.80440782330823e-05
"LIC_11058",-1.96879284385458,6.81825881245723,1.36706787094772e-06,0.000180111191997363
"LIC_13355",-1.96102009446541,5.28962153616572,0.000107573312245452,0.00575127462135468
"LIC_10149",-1.93352511134583,5.57828665080345,0.00225656169961784,0.0492571367449125
"LIC_10298",-1.92847398507153,8.40823733447433,1.25124182441914e-07,1.92503231716349e-05
"LIC_12298",-1.92684227035853,12.5381759141624,0.000341585043355575,0.0123267749254978
"LIC_10415",-1.91292943574905,9.48515363384764,9.61666488178428e-08,1.61253985222283e-05
"LIC_11146",-1.89302186359616,5.54638400441753,0.00072083302433161,0.0223434374208629
"LIC_12632",-1.88169913606342,9.22650694844209,2.64107297948715e-06,0.000295239946100852
"LIC_10054",-1.86549629859986,9.04260187981221,1.63164447770485e-06,0.000200306014240547
"LIC_13198",-1.8632309100445,6.0151937774676,0.000158262127172004,0.00729786233921901
"LIC_13354",-1.85258789790692,6.14912948670512,2.01866320021191e-05,0.00146016638148661
"LIC_12034",-1.85206327242014,7.43302101167719,0.000243947003733806,0.00983758400371696
"LIC_10461",-1.83700439706187,9.16828540348006,0.000118076799954674,0.00596692212373686
"LIC_12208",-1.81235751376632,7.88997686621089,8.52784437232796e-08,1.49805799473894e-05
"LIC_13229",-1.80712865674636,5.2627247142655,0.000659823709731693,0.0208041851726514
"LIC_12653",-1.79250334916253,10.6999677229087,0.000992871449584436,0.0286148654493514
"LIC_12297",-1.75324344362872,11.5570127881627,2.34389352456163e-05,0.00166281215617459
"LIC_10251",-1.73920436237435,7.02496608189935,3.02259449901526e-06,0.000318581460196208
"LIC_10463",-1.7253509485295,8.15642340613313,5.91821140349999e-05,0.00363871364458524
"LIC_11440",-1.72125380145676,6.5301902869682,0.00190299050005733,0.0450008458635353
"LIC_10080",-1.71750252018221,6.48005543195179,0.000112408639216805,0.00584049957846189
"LIC_10593",-1.68816659033872,7.46500826643403,0.000132335369422662,0.0062587843307718
"LIC_11082",-1.6599781618405,7.67750400984861,1.49054367592982e-05,0.00124763982384392
"LIC_20148",-1.62735533739141,8.08848711625047,0.00026393249749707,0.0102489156133336
"LIC_10252",-1.61500630307866,6.27194000487882,0.000114979663266316,0.00589111080263111
"LIC_10964",-1.61060193753178,5.78140848720159,0.000332907653226192,0.0123267749254978
"LIC_10464",-1.61007885540192,12.9507318010303,0.000604896837440504,0.0192367623561898
"LIC_13397",-1.60613404534634,7.96385819011723,1.52192442594135e-05,0.00124763982384392
"LIC_11617",-1.5906555117575,10.3490527580002,0.000495628619630476,0.0164718376379894
"LIC_13442",-1.5824641231935,6.82172482043867,0.000344173981384189,0.0123267749254978
"LIC_12993",-1.57115127563582,6.27154509429431,0.000230860587102308,0.00967778074795924
"LIC_12093",-1.56421129328362,5.56900913129254,0.000486038028478727,0.0162999480641639
"LIC_20245",-1.55134258029436,6.05424615280881,0.00103711721857332,0.029311628551456
"LIC_13085",-1.54954588497986,6.18528495309143,0.000168111819354371,0.00765635187158363
"LIC_11783",-1.54262883354639,7.60274366546542,0.000237176411561626,0.00972159758056487
"LIC_12992",-1.54061708440318,6.78083066662326,0.000119720486261812,0.00596822802459221
"LIC_11479",-1.5382841265524,8.08761247818204,7.1320219986893e-05,0.00404769679279459
"LIC_10450",-1.5361362823774,7.3666815280775,7.59065164149528e-05,0.00424271422810244
"LIC_13084",-1.50007736375363,7.19342349872359,8.61655573896897e-05,0.00474424986881441
"LIC_10460",-1.49087370711748,8.43614214383745,0.000245339584804001,0.00983758400371696
"LIC_12659",-1.4906054916786,6.60924110957622,6.55158546927065e-05,0.00383631726922848
"LIC_11275",-1.44484928316436,6.77832471782085,0.000820860527797405,0.0246875447458169
"LIC_10968",-1.42615922325845,7.17719355095991,0.000413084054509868,0.0143761045008198
"LIC_10297",-1.40497088799267,7.17950947314465,0.000930376102301312,0.0272393447729329
"LIC_10729",-1.40210044220062,6.57487246031259,0.000197568856574658,0.00864339443731389
"LIC_12648",-1.39034315963517,6.97787520004164,0.00126212340209467,0.0338875843357597
"LIC_12263",-1.33863510281678,7.07904290451135,0.000236703882786806,0.00972159758056487
"LIC_11565",-1.33781642179837,6.75714952027175,0.00100431218756556,0.0287202144180571
"LIC_10727",-1.335618822431,7.14092225942301,0.000143931163448543,0.00672103875900853
"LIC_10594",-1.33191718738268,6.10208265563625,0.00199503266680572,0.0457122702350703
"LIC_13233",-1.31984726388634,7.59379038277146,0.00127831142252418,0.0338875843357597
"LIC_13236",-1.31336777995876,6.64943762787198,0.00218139644333224,0.048450256181332
"LIC_11850",-1.29647347373173,7.27306797044192,0.00172486759906961,0.0415884743331228
"LIC_12353",-1.28842162845473,6.14078835871645,0.0020537855661063,0.0467679935392971
"LIC_10528",-1.28736681883558,7.10631089086279,0.000199156553855159,0.00864339443731389
"LIC_11473",-1.28305844929385,6.07036884047814,0.00193368752567354,0.0451479321658842
"LIC_11653",-1.2805196305409,6.61521997528314,0.00155415996834609,0.038782109135121
"LIC_10529",-1.2668974950651,6.31595427372663,0.00128605633152788,0.0338875843357597
"LIC_13212",-1.26211976710163,6.73235886623055,0.00118523030739594,0.0325677108564712
"LIC_11566",-1.26169841232481,6.85782184157021,0.000294759349705906,0.0110955840925009
"LIC_11177",-1.24960915706671,9.27484178213852,0.000253381190417022,0.00994386395157868
"LIC_11186",-1.24715726755496,8.82230238979912,0.000726812819328692,0.0223434374208629
"LIC_11398",-1.23674235152367,7.75050785682919,0.00108452096013167,0.0303090744085283
"LIC_10976",-1.23660562226417,7.34464274379105,0.00169025470882744,0.0410220369793713
"LIC_10983",-1.23256159601432,6.5712552297522,0.00119182460439783,0.0325677108564712
"LIC_11890",-1.14832437261487,11.933495529286,0.00214836935170596,0.0480323305360199
"LIC_13031",-1.13826146853593,8.32697123525331,0.00227828986142024,0.0494388899928192
"LIC_12322",-1.13115910410325,10.1793079282753,0.00117468924759881,0.0325677108564712
"LIC_10302",-1.1237581994075,7.84003371726875,0.000586154184537937,0.0188028068413952
"LIC_10050",-1.10805410622189,8.19412661703102,0.000784896361022709,0.0239296088910147
"LIC_10358",-1.06789207838162,10.1581289257959,0.0019230010365074,0.0451479321658842
"LIC_10357",-1.064411914236,8.7589660200447,0.00175329950676222,0.0417285282609409
"LIC_11071",-1.01622503268339,9.62565037098571,0.00165470368239772,0.0404251780421536
"LIC_11529",-1.01596973770133,7.70157979457265,0.0021215114121089,0.0478046580052175
"LIC_10432",0.995283734078805,10.5390360483882,0.0022382908859227,0.0491491373700526
"LIC_13310",1.05226549036608,7.4968741792814,0.00196126170215884,0.0452193401203997
"LIC_11938",1.07793380601546,7.57292802440266,0.0021252274092859,0.0478046580052175
"LIC_11675",1.15915059943293,7.60031061968141,0.0013009732499004,0.034037519992075
"LIC_11431",1.18677910188989,7.36719725783106,0.00127331565550113,0.0338875843357597
"LIC_11776",1.18784263398417,7.80426386331129,0.000946889791977836,0.0275045389181593
"LIC_20239",1.23543916829032,8.67643266212326,0.00150705399040186,0.0380789189766607
"LIC_10443",1.25494134867767,6.31752176600923,0.00164307152291125,0.0404086056534641
"LIC_20011",1.27837549621789,8.33322320339744,0.00033933088496934,0.0123267749254978
"LIC_10518",1.28371618917076,6.24504264341702,0.00175066060044498,0.0417285282609409
"LIC_20194",1.34230008672774,6.44447331333318,0.00122209065549305,0.0331492090302489
"LIC_12773",1.35881087082148,6.71898896100356,0.000865491214242497,0.0255423767147246
"LIC_11911",1.41410421717886,6.86987897271234,0.000204442827038237,0.00876964638307044
"LIC_12357",1.48006295738665,9.04887297560434,3.09971205434883e-05,0.00207906141245324
"LIC_10663",1.48389920191185,7.17411162427683,0.000353771401801369,0.0125486798196659
"LIC_10835",1.53830186139706,5.50514286070305,0.00164049165298755,0.0404086056534641
"LIC_13089",1.53966952258911,5.91592286774589,0.000575570582639902,0.0186252620996368
"LIC_20153",1.54594373221585,6.42923852693109,0.000225707045254025,0.00957049758554134
"LIC_12360",1.58519547126873,7.42701271368925,6.17466212398403e-05,0.00373415222547165
"LIC_12678",1.59954650965084,6.10199120568067,0.000475413049593611,0.0161023077262389
"LIC_10403",1.62377931623246,6.90649116699048,3.05634966411176e-05,0.00207906141245324
"LIC_12693",1.6244829989005,7.53841183530089,9.22922301964153e-06,0.000830404968767259
"LIC_12030",1.66428120457102,6.01130810937771,0.000107174643646651,0.00575127462135468
"LIC_12354",1.68155532968488,5.69338501655135,0.00104088461378171,0.029311628551456
"LIC_20237",1.70439946551317,7.48266283448851,1.87272985801834e-05,0.00145357683429814
"LIC_10409",1.71389988968264,6.86042735354505,0.000123891013383576,0.0060937859782935
"LIC_20238",1.71464255301699,8.3658620010731,2.98046901364308e-06,0.000318581460196208
"LIC_10708",1.78187052715663,6.33565311796979,0.000198007488069338,0.00864339443731389
"LIC_12772",1.78718099996198,6.38141712622318,0.000475779762038503,0.0161023077262389
"LIC_12430",1.80446546692317,5.94340951767005,0.000342026628390969,0.0123267749254978
"LIC_13012",1.82085321307932,6.87334025081598,6.95552277659016e-06,0.000657921115970285
"LIC_10880",1.91602567349175,5.66173675428373,0.000195748446926252,0.00864339443731389
"LIC_20014",1.94420711568759,6.85891362124571,2.47726181327478e-06,0.000285581838411583
"LIC_20009",2.11795817451676,7.79905465052052,3.05952796676793e-09,7.52439911293794e-07
"LIC_12338",2.12407135202063,5.52824485100826,4.36665082733073e-05,0.00282606577228475
"LIC_12604",2.21099973676983,6.43462823392956,0.000433888584418956,0.0149590185787059
"LIC_12692",2.2378062559611,8.04343644227366,1.78076615033586e-10,8.21155791073623e-08
"LIC_12017",2.26867769962553,12.0690584124533,1.30457598072885e-07,1.92503231716349e-05
"LIC_11893",2.37842333234404,5.88817255651919,3.02097397213601e-05,0.00207906141245324
"LIC_13416",2.38945737347681,9.86617698992475,7.90432253695548e-10,2.42992048656906e-07
"LIC_13247",2.44283027662013,5.19354028790755,0.000563960958034752,0.0184110794176124
"LIC_20008",2.66741874111886,8.50382184940349,1.06426347336855e-11,9.81516988314147e-09
"LIC_13417",2.67874122746236,7.60957293262172,9.69011710675704e-11,7.14936840136535e-08
"LIC_10177",2.68613578191364,6.16308029830312,0.000557483099168263,0.0183620995788547
"LIC_12610",2.781160534827,6.17639634612684,0.00195217374628468,0.0452193401203997
"LIC_10179",2.9459316489794,5.40932884773778,0.000823141231698422,0.0246875447458169
"LIC_12428",2.96265956223399,4.84518934224128,4.58021476963525e-05,0.00291317453192835
"LIC_12836",2.98854059261108,4.22123473612653,0.00149445308834094,0.0380789189766607
"LIC_12614",3.04069725071093,5.93719740404951,0.000251104643266838,0.00994386395157868
"LIC_12613",3.14457263441379,6.41196466900733,0.000412591765681962,0.0143761045008198
"LIC_12615",3.18770391411506,7.57505149643109,1.948371802094e-05,0.00146016638148661
"LIC_10178",3.30050250417772,6.84679908897014,1.8913442137791e-05,0.00145357683429814
"LIC_10173",3.48730572476009,5.46922482752903,0.000865222526370197,0.0255423767147246
"LIC_12611",3.55781607430492,7.07542333101475,1.99184573255329e-05,0.00146016638148661
"LIC_10176",3.56203530581061,5.27671283552629,7.02343974129101e-05,0.00404769679279459
"LIC_10175",3.67457508605097,7.65084464560432,6.18942179834971e-06,0.000600862553002949
"LIC_12616",3.7388618783303,5.47530343573909,0.000131347410306626,0.0062587843307718
"LIC_10180",3.88004427202681,4.17638847278404,0.00155591004391377,0.038782109135121
